Field,X,Y,Influx
3,349.0,187.0,4.77047704770477
3,351.0,287.0,-0.7751937984496124
3,354.0,283.0,0.3078214635511403
3,359.0,264.0,-2.484152818228542
3,366.0,217.0,-0.9699909063352531
3,368.0,226.0,-4.444444444444445
3,369.0,159.0,3.171922417205436
3,372.0,411.0,-0.5524861878453038
3,376.0,157.0,-10.741943542343241
3,386.0,191.0,-1.4811275680840899
3,393.0,106.0,2.6803013993541445
3,407.0,67.0,0.0
3,414.0,170.0,7.561764026783653
3,437.0,74.0,-1.7692852087756548
3,437.0,131.0,-2.9996939087848182
3,437.0,254.0,4.394799487273393
3,438.0,192.0,0.9149357072205736
3,450.0,61.0,2.951153324287653
3,450.0,101.0,4.0659817681956305
3,451.0,421.0,6.634980988593156
3,454.0,283.0,-4.912280701754386
3,466.0,34.0,-1.6915814319433515
3,471.0,151.0,5.14736135472834
3,475.0,77.0,6.819507380322132
3,477.0,173.0,1.3433772755806654
